user_id,author,linkOfAuthorProfile,desc,followers
macfowler,Mac Fowler,https://towardsdatascience.com/@macfowler?source=collection_archive---------10-----------------------,"Digital strategy, product development and armchair sociologist. Director of Strategy @ Collective Idea",214
ardendertat,Arden Dertat,https://towardsdatascience.com/@ardendertat?source=collection_archive---------0-----------------------,ML Engineer @ Netflix. Photography and travel enthusiast.,2500
gelopfalcon,Gerardo Lopez Falcón,https://towardsdatascience.com/@gelopfalcon?source=collection_archive---------1-----------------------,,0
lskhere,Suki Lau,https://towardsdatascience.com/@lskhere?source=collection_archive---------0-----------------------,always a student,314
tadejmagajna,Tadej Magajna,https://towardsdatascience.com/@tadejmagajna?source=collection_archive---------5-----------------------,Software Engineer at Microsoft. More on ,688
claudioakaklaus,Claudio Masolo,https://towardsdatascience.com/@claudioakaklaus?source=collection_archive---------6-----------------------,"Software architect, data science entusiast",87
ramrajchandradevan,Ramraj Chandradevan,https://towardsdatascience.com/@ramrajchandradevan?source=collection_archive---------1-----------------------,Undergrad student@ University of Moratuwa-Sri Lanka. Former Deep Learning Intern @ Emory University.,283
taplapinger,Thomas Plapinger,https://towardsdatascience.com/@taplapinger?source=collection_archive---------2-----------------------,,139
dsquintana,Dan Quintana,https://towardsdatascience.com/@dsquintana?source=collection_archive---------3-----------------------,Researcher at Oslo University in Biological Psychiatry,361
peterbinggeser,Peter Binggeser,https://towardsdatascience.com/@peterbinggeser?source=collection_archive---------7-----------------------,,157
igodfried,Isaac Godfried,https://towardsdatascience.com/@igodfried?source=collection_archive---------4-----------------------,,0
windmaple,Wayne Wei,https://towardsdatascience.com/@windmaple?source=collection_archive---------5-----------------------,,0
elderresearch,"Elder Research, Inc.",https://towardsdatascience.com/@elderresearch?source=collection_archive---------11-----------------------,,0
orenrazon,Oren Razon,https://towardsdatascience.com/@orenrazon?source=collection_archive---------2-----------------------,"Entrepreneur, and an experienced MLOps practitioner. ",142
morgangiraud,Morgan,https://towardsdatascience.com/@morgangiraud?source=collection_archive---------0-----------------------,"Machine learning enthusiast, I spend my time reading scientific papers, replicating work and waiting for my own creativity to kick in!",2500
danielcanueto,Daniel Cañueto,https://towardsdatascience.com/@danielcanueto?source=collection_archive---------6-----------------------,Data scientist tinkering with whatever I am given and PhD student. A bad model is better than no model. Still interested in other things.,40
td1313,TD,https://towardsdatascience.com/@td1313?source=collection_archive---------8-----------------------,"Developer. Artist. Yogi. Shenaniganizer. Interested in the idea of creative machines, and the intersection of art and tech.",320
sienaduplan,Siena Duplan,https://towardsdatascience.com/@sienaduplan?source=collection_archive---------4-----------------------,,0
danjamker,Daniel Kershaw,https://towardsdatascience.com/@danjamker?source=collection_archive---------6-----------------------,Senior Data Scientist @Mendeley,190
rushkirubi,Rush Kirubi,https://towardsdatascience.com/@rushkirubi?source=collection_archive---------7-----------------------,"I was a web developer, now I’m fascinated by the intersection of programming and statistics.",37
kritika-jalan,Kritika Jalan,https://towardsdatascience.com/@kritika-jalan?source=collection_archive---------8-----------------------,,0
TheMTank,MTank,https://towardsdatascience.com/@TheMTank?source=collection_archive---------9-----------------------,The MTank team creates unique resources on Artificial Intelligence for free and for everyone. Find us @ ,626
ugo.bertello,Ugo Bertello,https://towardsdatascience.com/@ugo.bertello?source=collection_archive---------10-----------------------,"Data Scientist, writer and ukulele enthusiast based in Stockholm.",40
